丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
野本　圭, (中), 左打ち, 48試合, 打率0.163, 55打席, 8安打, 0本塁打, 7打点, 13三振, 長打率0.204
_城　俊人, (デ), 右打ち, 47試合, 打率0.163, 103打席, 15安打, 0本塁打, 9打点, 31三振, 長打率0.185
堂林　翔太, (広), 右打ち, 47試合, 打率0.250, 60打席, 14安打, 2本塁打, 2打点, 11三振, 長打率0.357
明石　健志, (ソ), 左打ち, 47試合, 打率0.230, 152打席, 31安打, 0本塁打, 16打点, 34三振, 長打率0.304
岡田　雅利, (西), 右打ち, 47試合, 打率0.227, 79打席, 15安打, 0本塁打, 5打点, 18三振, 長打率0.227
鵜久森　淳志, (ヤ), 右打ち, 46試合, 打率0.257, 146打席, 35安打, 4本塁打, 19打点, 22三振, 長打率0.390
荒木　郁也, (神), 左打ち, 46試合, 打率0.246, 73打席, 14安打, 0本塁打, 2打点, 10三振, 長打率0.281
新井　良太, (神), 右打ち, 46試合, 打率0.154, 88打席, 12安打, 3本塁打, 8打点, 21三振, 長打率0.308
祖父江　大輔, (中), 左打ち, 46試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
斉藤　彰吾, (西), 左打ち, 45試合, 打率0.000, 13打席, 0安打, 0本塁打, 0打点, 7三振, 長打率0.000
坂田　遼, (西), 左打ち, 45試合, 打率0.245, 161打席, 37安打, 3本塁打, 26打点, 22三振, 長打率0.371
畠山　和洋, (ヤ), 右打ち, 45試合, 打率0.245, 190打席, 40安打, 1本塁打, 18打点, 24三振, 長打率0.325
鈴木　昂平, (オ), 右打ち, 45試合, 打率0.184, 43打席, 7安打, 0本塁打, 4打点, 8三振, 長打率0.184
上本　博紀, (神), 右打ち, 45試合, 打率0.257, 113打席, 26安打, 2本塁打, 8打点, 14三振, 長打率0.386
枡田　慎太郎, (楽), 左打ち, 45試合, 打率0.278, 66打席, 15安打, 1本塁打, 6打点, 23三振, 長打率0.352
ミコライオ, (楽), 右打ち, 45試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小川　龍也, (中), 左打ち, 44試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
鈴木　尚広, (巨), 両打ち, 44試合, 打率0.300, 10打席, 3安打, 0本塁打, 1打点, 3三振, 長打率0.300
山崎　勝己, (オ), 右打ち, 43試合, 打率0.152, 80打席, 10安打, 0本塁打, 0打点, 16三振, 長打率0.167
堂上　剛裕, (巨), 左打ち, 43試合, 打率0.167, 53打席, 8安打, 2本塁打, 6打点, 11三振, 長打率0.333
佐藤　達也, (オ), 右打ち, 43試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中井　大介, (巨), 右打ち, 43試合, 打率0.196, 61打席, 10安打, 0本塁打, 4打点, 13三振, 長打率0.275
藤川　球児, (神), 左打ち, 43試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
呉　念庭, (西), 左打ち, 43試合, 打率0.194, 142打席, 24安打, 0本塁打, 11打点, 25三振, 長打率0.234
戸根　千明, (巨), 左打ち, 42試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西野　勇士, (ロ), 右打ち, 42試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
江川　智晃, (ソ), 右打ち, 42試合, 打率0.228, 138打席, 26安打, 4本塁打, 15打点, 44三振, 長打率0.386
俊介, (神), 右打ち, 41試合, 打率0.186, 56打席, 8安打, 0本塁打, 2打点, 12三振, 長打率0.233
岡　大海, (日), 右打ち, 41試合, 打率0.374, 154打席, 49安打, 2本塁打, 12打点, 27三振, 長打率0.473
福谷　浩司, (中), 右打ち, 41試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
牧原　大成, (ソ), 左打ち, 41試合, 打率0.244, 97打席, 22安打, 0本塁打, 6打点, 15三振, 長打率0.278
板山　祐太郎, (神), 左打ち, 40試合, 打率0.236, 115打席, 25安打, 0本塁打, 5打点, 31三振, 長打率0.302
アマダー, (楽), 右打ち, 39試合, 打率0.258, 138打席, 34安打, 9本塁打, 19打点, 32三振, 長打率0.515
久古　健太郎, (ヤ), 左打ち, 39試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大嶺　翔太, (ロ), 右打ち, 38試合, 打率0.236, 80打席, 17安打, 0本塁打, 7打点, 20三振, 長打率0.319
木村　昇吾, (西), 左打ち, 38試合, 打率0.221, 108打席, 21安打, 0本塁打, 5打点, 22三振, 長打率0.263
岡_　太一, (神), 右打ち, 38試合, 打率0.200, 76打席, 13安打, 0本塁打, 5打点, 16三振, 長打率0.246
三好　匠, (楽), 右打ち, 38試合, 打率0.222, 70打席, 14安打, 3本塁打, 6打点, 16三振, 長打率0.365
横田　慎太郎, (神), 左打ち, 38試合, 打率0.190, 109打席, 20安打, 0本塁打, 4打点, 13三振, 長打率0.210
梅野　隆太郎, (神), 右打ち, 37試合, 打率0.135, 98打席, 12安打, 0本塁打, 4打点, 22三振, 長打率0.135
外崎　修汰, (西), 右打ち, 37試合, 打率0.176, 57打席, 9安打, 2本塁打, 5打点, 11三振, 長打率0.294
高梨　裕稔, (日), 右打ち, 37試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
井口　和朋, (日), 右打ち, 37試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_谷　裕亮, (ソ), 左打ち, 37試合, 打率0.247, 103打席, 20安打, 2本塁打, 16打点, 12三振, 長打率0.321
相川　亮二, (巨), 右打ち, 37試合, 打率0.244, 48打席, 10安打, 0本塁打, 4打点, 10三振, 長打率0.293
バース, (日), 右打ち, 37試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
大石　達也, (西), 左打ち, 36試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
原　拓也, (オ), 左打ち, 36試合, 打率0.189, 43打席, 7安打, 0本塁打, 4打点, 7三振, 長打率0.216
_田　知季, (ソ), 左打ち, 36試合, 打率0.175, 77打席, 11安打, 0本塁打, 2打点, 15三振, 長打率0.206
福浦　和也, (ロ), 左打ち, 36試合, 打率0.244, 90打席, 20安打, 0本塁打, 7打点, 12三振, 長打率0.268
荒波　翔, (デ), 左打ち, 36試合, 打率0.195, 96打席, 17安打, 0本塁打, 7打点, 17三振, 長打率0.241
飯山　裕志, (日), 右打ち, 36試合, 打率0.333, 3打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.667
福田　将儀, (楽), 右打ち, 36試合, 打率0.200, 74打席, 12安打, 2本塁打, 8打点, 11三振, 長打率0.333
岩嵜　翔, (ソ), 右打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
井上　晴哉, (ロ), 右打ち, 35試合, 打率0.232, 107打席, 23安打, 2本塁打, 16打点, 19三振, 長打率0.343
榎田　大樹, (神), 左打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
矢野　謙次, (日), 右打ち, 34試合, 打率0.207, 35打席, 6安打, 1本塁打, 8打点, 5三振, 長打率0.379
内　竜也, (ロ), 右打ち, 34試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宮國　椋丞, (巨), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ドリス, (神), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平井　諒, (ヤ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
五十嵐　亮太, (ソ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山井　大介, (中), 右打ち, 33試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 7三振, 長打率0.000
ザガースキー, (デ), 左打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大谷　智久, (ロ), 右打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
片岡　治大, (巨), 右打ち, 32試合, 打率0.222, 93打席, 18安打, 2本塁打, 4打点, 8三振, 長打率0.333
藤岡　貴裕, (ロ), 左打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ヘイグ, (神), 右打ち, 31試合, 打率0.231, 124打席, 24安打, 2本塁打, 11打点, 21三振, 長打率0.346
田中　浩康, (ヤ), 右打ち, 31試合, 打率0.188, 37打席, 6安打, 0本塁打, 1打点, 3三振, 長打率0.250
縞田　拓弥, (オ), 右打ち, 31試合, 打率0.167, 46打席, 7安打, 1本塁打, 3打点, 8三振, 長打率0.262
ロマック, (デ), 右打ち, 30試合, 打率0.113, 85打席, 8安打, 0本塁打, 2打点, 30三振, 長打率0.127
加藤　貴之, (日), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
オンドルセク, (ヤ), 右打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
飯田　優也, (ソ), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
増井　浩俊, (日), 右打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
伊藤　隼太, (神), 左打ち, 29試合, 打率0.245, 54打席, 13安打, 1本塁打, 4打点, 11三振, 長打率0.340
西宮　悠介, (楽), 左打ち, 29試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
陽川　尚将, (神), 右打ち, 29試合, 打率0.167, 77打席, 12安打, 2本塁打, 4打点, 22三振, 長打率0.250
熊代　聖人, (西), 右打ち, 28試合, 打率0.167, 9打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.167
松葉　貴大, (オ), 左打ち, 28試合, 打率1.000, 2打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
メッセンジャー, (神), 右打ち, 28試合, 打率0.138, 67打席, 9安打, 0本塁打, 3打点, 28三振, 長打率0.154
川端　崇義, (オ), 右打ち, 28試合, 打率0.194, 71打席, 12安打, 0本塁打, 5打点, 11三振, 長打率0.226
木村　文紀, (西), 右打ち, 28試合, 打率0.167, 35打席, 5安打, 0本塁打, 2打点, 12三振, 長打率0.200
則本　昂大, (楽), 左打ち, 28試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
坂本　誠志郎, (神), 右打ち, 28試合, 打率0.200, 55打席, 9安打, 1本塁打, 2打点, 14三振, 長打率0.356
後藤Ｇ武敏, (デ), 右打ち, 27試合, 打率0.261, 30打席, 6安打, 1本塁打, 6打点, 9三振, 長打率0.435
西村　健太朗, (巨), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ディクソン, (オ), 右打ち, 27試合, 打率0.600, 6打席, 3安打, 0本塁打, 5打点, 1三振, 長打率0.800
ブランコ, (オ), 右打ち, 27試合, 打率0.218, 94打席, 17安打, 3本塁打, 13打点, 26三振, 長打率0.359
岩本　貴裕, (広), 左打ち, 27試合, 打率0.333, 22打席, 7安打, 0本塁打, 5打点, 8三振, 長打率0.524
遠藤　一星, (中), 左打ち, 27試合, 打率0.180, 71打席, 11安打, 0本塁打, 3打点, 11三振, 長打率0.230
九里　亜蓮, (広), 右打ち, 27試合, 打率0.056, 21打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.056
スタンリッジ, (ロ), 右打ち, 27試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉川　光夫, (日), 左打ち, 27試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
山本　泰寛, (巨), 右打ち, 27試合, 打率0.256, 86打席, 20安打, 0本塁打, 2打点, 20三振, 長打率0.346
一岡　竜司, (広), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福　敬登, (中), 左打ち, 27試合, 打率0.250, 4打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
武田　翔太, (ソ), 右打ち, 27試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
伊志嶺　忠, (楽), 左打ち, 27試合, 打率0.167, 22打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.167
菅野　智之, (巨), 右打ち, 26試合, 打率0.222, 61打席, 12安打, 0本塁打, 3打点, 18三振, 長打率0.241
田口　麗斗, (巨), 左打ち, 26試合, 打率0.104, 56打席, 5安打, 0本塁打, 1打点, 16三振, 長打率0.104
涌井　秀章, (ロ), 右打ち, 26試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
森岡　良介, (ヤ), 左打ち, 26試合, 打率0.065, 33打席, 2安打, 0本塁打, 3打点, 8三振, 長打率0.097
加賀　繁, (デ), 右打ち, 26試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
能見　篤史, (神), 左打ち, 26試合, 打率0.083, 49打席, 3安打, 0本塁打, 1打点, 20三振, 長打率0.083
藤浪　晋太郎, (神), 右打ち, 26試合, 打率0.167, 57打席, 8安打, 0本塁打, 1打点, 30三振, 長打率0.250
西　勇輝, (オ), 右打ち, 26試合, 打率0.250, 4打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.250
ジョンソン, (広), 左打ち, 26試合, 打率0.109, 66打席, 6安打, 0本塁打, 0打点, 20三振, 長打率0.127
美馬　学, (楽), 左打ち, 26試合, 打率0.667, 3打席, 2安打, 0本塁打, 1打点, 1三振, 長打率0.667
高木　勇人, (巨), 右打ち, 25試合, 打率0.034, 36打席, 1安打, 0本塁打, 0打点, 16三振, 長打率0.069
石田　健大, (デ), 左打ち, 25試合, 打率0.182, 50打席, 8安打, 0本塁打, 3打点, 24三振, 長打率0.182
千賀　滉大, (ソ), 左打ち, 25試合, 打率0.200, 5打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.200
重信　慎之介, (巨), 左打ち, 25試合, 打率0.190, 87打席, 15安打, 0本塁打, 2打点, 20三振, 長打率0.278
阿部　寿樹, (中), 右打ち, 25試合, 打率0.184, 53打席, 9安打, 1本塁打, 4打点, 10三振, 長打率0.265
武内　晋一, (ヤ), 左打ち, 25試合, 打率0.250, 24打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.250
小川　泰弘, (ヤ), 右打ち, 25試合, 打率0.080, 54打席, 4安打, 1本塁打, 3打点, 26三振, 長打率0.160
野村　祐輔, (広), 右打ち, 25試合, 打率0.163, 54打席, 7安打, 0本塁打, 3打点, 15三振, 長打率0.163
岩貞　祐太, (神), 左打ち, 25試合, 打率0.071, 50打席, 3安打, 0本塁打, 1打点, 26三振, 長打率0.071
東明　大貴, (オ), 右打ち, 24試合, 打率0.250, 5打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
磯村　嘉孝, (広), 右打ち, 24試合, 打率0.161, 32打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.194
ペレス, (楽), 左打ち, 24試合, 打率0.239, 93打席, 21安打, 5本塁打, 15打点, 29三振, 長打率0.432
黒田　博樹, (広), 右打ち, 24試合, 打率0.089, 52打席, 4安打, 0本塁打, 5打点, 21三振, 長打率0.111
金子　千尋, (オ), 左打ち, 24試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塩見　貴洋, (楽), 左打ち, 24試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
吉田　裕太, (ロ), 右打ち, 24試合, 打率0.000, 35打席, 0安打, 0本塁打, 0打点, 12三振, 長打率0.000
赤間　謙, (オ), 右打ち, 24試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
和田　毅, (ソ), 左打ち, 24試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
平沢　大河, (ロ), 左打ち, 23試合, 打率0.149, 53打席, 7安打, 0本塁打, 3打点, 18三振, 長打率0.234
オスカル, (広), 左打ち, 23試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
東浜　巨, (ソ), 右打ち, 23試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
石川　歩, (ロ), 右打ち, 23試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
宮_　祐樹, (オ), 右打ち, 23試合, 打率0.238, 49打席, 10安打, 0本塁打, 0打点, 8三振, 長打率0.262
柳田　殖生, (デ), 右打ち, 23試合, 打率0.048, 24打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.048
谷内　亮太, (ヤ), 右打ち, 23試合, 打率0.300, 80打席, 21安打, 1本塁打, 6打点, 14三振, 長打率0.414
メンドーサ, (日), 右打ち, 23試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
井納　翔一, (デ), 右打ち, 23試合, 打率0.150, 48打席, 6安打, 0本塁打, 0打点, 14三振, 長打率0.175
島本　浩也, (神), 左打ち, 23試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ジョーダン, (中), 左打ち, 22試合, 打率0.051, 41打席, 2安打, 0本塁打, 0打点, 20三振, 長打率0.051
白村　明弘, (日), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
江村　直也, (ロ), 右打ち, 22試合, 打率0.130, 24打席, 3安打, 0本塁打, 4打点, 10三振, 長打率0.174
有原　航平, (日), 右打ち, 22試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
石井　裕也, (日), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松田　遼馬, (神), 右打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
二木　康太, (ロ), 右打ち, 22試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
成瀬　善久, (ヤ), 左打ち, 22試合, 打率0.059, 18打席, 1安打, 0本塁打, 1打点, 12三振, 長打率0.059
竹原　直隆, (西), 右打ち, 22試合, 打率0.200, 31打席, 6安打, 1本塁打, 6打点, 4三振, 長打率0.333
_橋　光成, (西), 右打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
菊池　雄星, (西), 左打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
野上　亮磨, (西), 右打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
今永　昇太, (デ), 左打ち, 22試合, 打率0.139, 43打席, 5安打, 0本塁打, 1打点, 13三振, 長打率0.139
山中　浩史, (ヤ), 右打ち, 22試合, 打率0.073, 46打席, 3安打, 0本塁打, 1打点, 16三振, 長打率0.073
野田　昇吾, (西), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
緒方　凌介, (神), 左打ち, 21試合, 打率0.167, 25打席, 4安打, 0本塁打, 0打点, 6三振, 長打率0.208
吉見　一起, (中), 右打ち, 21試合, 打率0.118, 41打席, 4安打, 0本塁打, 1打点, 18三振, 長打率0.147
十亀　剣, (西), 右打ち, 21試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉持　亮汰, (楽), 右打ち, 21試合, 打率0.161, 37打席, 5安打, 0本塁打, 1打点, 6三振, 長打率0.226
野間　峻祥, (広), 左打ち, 21試合, 打率0.292, 25打席, 7安打, 0本塁打, 1打点, 3三振, 長打率0.292
近藤　弘基, (中), 右打ち, 21試合, 打率0.186, 49打席, 8安打, 2本塁打, 4打点, 13三振, 長打率0.372
釜田　佳直, (楽), 右打ち, 20試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 2三振, 長打率0.400
バルデス, (中), 左打ち, 20試合, 打率0.121, 39打席, 4安打, 1本塁打, 3打点, 14三振, 長打率0.242
川島　慶三, (ソ), 右打ち, 20試合, 打率0.125, 50打席, 5安打, 0本塁打, 3打点, 10三振, 長打率0.125
小杉　陽太, (デ), 右打ち, 20試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サターホワイト, (神), 右打ち, 20試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　雅規, (ヤ), 左打ち, 20試合, 打率0.029, 39打席, 1安打, 0本塁打, 0打点, 12三振, 長打率0.029
水口　大地, (西), 左打ち, 20試合, 打率0.500, 6打席, 3安打, 0本塁打, 1打点, 1三振, 長打率0.500
山口　俊, (デ), 右打ち, 19試合, 打率0.116, 50打席, 5安打, 1本塁打, 4打点, 23三振, 長打率0.186
横山　貴明, (楽), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
若松　駿太, (中), 右打ち, 19試合, 打率0.074, 35打席, 2安打, 0本塁打, 1打点, 12三振, 長打率0.074
實松　一成, (巨), 右打ち, 19試合, 打率0.250, 33打席, 7安打, 1本塁打, 1打点, 7三振, 長打率0.393
大野　雄大, (中), 左打ち, 19試合, 打率0.091, 39打席, 3安打, 0本塁打, 1打点, 21三振, 長打率0.091
柴田　竜拓, (デ), 左打ち, 19試合, 打率0.205, 46打席, 8安打, 0本塁打, 2打点, 8三振, 長打率0.256
岸　孝之, (西), 右打ち, 19試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
バスケス, (西), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中澤　雅人, (ヤ), 左打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ペレス, (ヤ), 左打ち, 19試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
内海　哲也, (巨), 左打ち, 18試合, 打率0.036, 35打席, 1安打, 0本塁打, 0打点, 18三振, 長打率0.036
熊原　健人, (デ), 左打ち, 18試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
ゴームズ, (楽), 右打ち, 18試合, 打率0.169, 75打席, 11安打, 1本塁打, 7打点, 22三振, 長打率0.246
岡田　明丈, (広), 左打ち, 18試合, 打率0.074, 29打席, 2安打, 0本塁打, 0打点, 13三振, 長打率0.074
多和田　真三郎, (西), 右打ち, 18試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
Ｃ．Ｃ．リー, (西), 右打ち, 18試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
飛雄馬, (デ), 右打ち, 17試合, 打率0.143, 38打席, 5安打, 1本塁打, 1打点, 8三振, 長打率0.229
杉浦　稔大, (ヤ), 右打ち, 17試合, 打率0.091, 16打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.091
砂田　毅樹, (デ), 左打ち, 17試合, 打率0.143, 16打席, 2安打, 0本塁打, 1打点, 8三振, 長打率0.143
ジェフン, (ヤ), 右打ち, 17試合, 打率0.225, 42打席, 9安打, 0本塁打, 2打点, 12三振, 長打率0.275
戸田　隆矢, (広), 左打ち, 17試合, 打率0.267, 15打席, 4安打, 0本塁打, 2打点, 7三振, 長打率0.267
伏見　寅威, (オ), 右打ち, 17試合, 打率0.242, 35打席, 8安打, 0本塁打, 1打点, 6三振, 長打率0.242
中田　賢一, (ソ), 右打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
田中　靖洋, (ロ), 右打ち, 17試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山_　福也, (オ), 左打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金澤　岳, (ロ), 左打ち, 17試合, 打率0.188, 41打席, 6安打, 0本塁打, 2打点, 13三振, 長打率0.219
大瀬良　大地, (広), 右打ち, 17試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大竹　寛, (巨), 右打ち, 17試合, 打率0.042, 31打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.042
内田　靖人, (楽), 右打ち, 17試合, 打率0.204, 58打席, 11安打, 2本塁打, 7打点, 27三振, 長打率0.389
薮田　和樹, (広), 右打ち, 16試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
比嘉　幹貴, (オ), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大原　慎司, (デ), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
牧田　明久, (楽), 右打ち, 16試合, 打率0.355, 34打席, 11安打, 0本塁打, 2打点, 2三振, 長打率0.419
関谷　亮太, (ロ), 右打ち, 16試合, 打率0.500, 3打席, 1安打, 0本塁打, 1打点, 0三振, 長打率0.500
岸田　護, (オ), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩崎　優, (神), 左打ち, 16試合, 打率0.000, 25打席, 0安打, 0本塁打, 1打点, 9三振, 長打率0.000
カニザレス, (ソ), 右打ち, 16試合, 打率0.179, 42打席, 7安打, 0本塁打, 3打点, 11三振, 長打率0.205
園部　聡, (オ), 右打ち, 16試合, 打率0.204, 57打席, 11安打, 1本塁打, 6打点, 24三振, 長打率0.315
高宮　和也, (神), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
今村　信貴, (巨), 左打ち, 16試合, 打率0.091, 24打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.091
榎下　陽大, (日), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩瀬　仁紀, (中), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
奥浪　鏡, (オ), 右打ち, 15試合, 打率0.265, 42打席, 9安打, 0本塁打, 1打点, 11三振, 長打率0.324
安樂　智大, (楽), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
デイビーズ, (ヤ), 右打ち, 15試合, 打率0.100, 24打席, 2安打, 0本塁打, 0打点, 12三振, 長打率0.100
佐野　泰雄, (西), 左打ち, 15試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
唐川　侑己, (ロ), 右打ち, 15試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
三ツ俣　大樹, (中), 右打ち, 15試合, 打率0.125, 19打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.125
久保　康友, (デ), 右打ち, 15試合, 打率0.074, 30打席, 2安打, 0本塁打, 1打点, 16三振, 長打率0.074
ペトリック, (デ), 右打ち, 15試合, 打率0.154, 15打席, 2安打, 0本塁打, 2打点, 7三振, 長打率0.154
