菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
武藤　祐太, (中), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
赤田　龍一郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
溝脇　隼人, (中), 左打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ルーキ, (ヤ), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
赤坂　和幸, (中), 右打ち, 7試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
古野　正人, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　優, (中), 左打ち, 14試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
ペレス, (ヤ), 左打ち, 19試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
加藤　匠馬, (中), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金子　丈, (中), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田島　慎二, (中), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武山　真吾, (中), 右打ち, 15試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
祖父江　大輔, (中), 左打ち, 46試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
セプティモ, (中), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平井　諒, (ヤ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中島　彰吾, (ヤ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
徳山　武陽, (ヤ), 両打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
濱田　達郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
寺田　哲也, (ヤ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩田　慎司, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
村中　恭兵, (ヤ), 左打ち, 52試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
小川　龍也, (中), 左打ち, 44試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松岡　健一, (ヤ), 右打ち, 53試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
岡田　俊哉, (中), 左打ち, 57試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土肥　寛昌, (ヤ), 両打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中澤　雅人, (ヤ), 左打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
木谷　良平, (ヤ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中川　皓太, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
戸根　千明, (巨), 左打ち, 42試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土田　瑞起, (巨), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤村　大介, (巨), 左打ち, 5試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長谷川　潤, (巨), 右打ち, 3試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西村　健太朗, (巨), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
桜井　俊貴, (巨), 右打ち, 1試合, 打率0.000, 2打席, 0安打, 0本塁打, 1打点, 1三振, 長打率0.000
公文　克彦, (巨), 左打ち, 12試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　健, (巨), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田原　誠次, (巨), 左打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
平良　拳太郎, (巨), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
澤村　拓一, (巨), 右打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ポレダ, (巨), 左打ち, 5試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 8三振, 長打率0.000
国吉　佑樹, (デ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
加賀　繁, (デ), 右打ち, 26試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長田　秀一郎, (デ), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小杉　陽太, (デ), 右打ち, 20試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
熊原　健人, (デ), 左打ち, 18試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
久保　裕也, (デ), 右打ち, 9試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
メンドーサ, (巨), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宮國　椋丞, (巨), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
マシソン, (巨), 右打ち, 70試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
大原　慎司, (デ), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山口　鉄也, (巨), 左打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
矢貫　俊之, (巨), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　祥万, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小野　淳平, (広), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大瀬良　大地, (広), 右打ち, 17試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
白濱　裕太, (広), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
庄司　隼人, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ジャクソン, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
今村　猛, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
一岡　竜司, (広), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
飯田　哲矢, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
オスカル, (広), 左打ち, 23試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
江草　仁貴, (広), 左打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
上本　崇司, (広), 両打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
梵　英心, (広), 右打ち, 7試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
横山　弘樹, (広), 左打ち, 6試合, 打率0.000, 12打席, 0安打, 0本塁打, 2打点, 6三振, 長打率0.000
塹江　敦哉, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
廣瀬　純, (広), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ガルシア, (巨), 右打ち, 4試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
江柄子　裕樹, (巨), 右打ち, 2試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
乾　真大, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中_　翔太, (広), 右打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
永川　勝浩, (広), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
デラバー, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
久本　祐一, (広), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西原　圭大, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中田　廉, (広), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ドリス, (神), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
鶴岡　一成, (神), 右打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
鶴　直人, (神), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
マテオ, (神), 右打ち, 52試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤川　球児, (神), 左打ち, 43試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
福原　忍, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_橋　聡文, (神), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
清水　誉, (神), 右打ち, 2試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
島本　浩也, (神), 左打ち, 23試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
筒井　和也, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田面　巧二郎, (神), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
高宮　和也, (神), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松田　遼馬, (神), 右打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩橋　慶侍, (ヤ), 左打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
井野　卓, (ヤ), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石山　泰稚, (ヤ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
風張　蓮, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
奥村　展征, (ヤ), 左打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
オンドルセク, (ヤ), 右打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
守屋　功輝, (神), 右打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
森越　祐人, (神), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
望月　惇志, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
新垣　渚, (ヤ), 右打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
秋吉　亮, (ヤ), 右打ち, 70試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
山本　翔也, (神), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ブロードウェイ, (デ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平田　真吾, (デ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
野川　拓斗, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三上　朋也, (デ), 右打ち, 59試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
藤岡　好明, (デ), 左打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福地　元春, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
白根　尚貴, (デ), 右打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ザガースキー, (デ), 左打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小林　寛, (デ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西森　将司, (デ), 両打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田中　健二朗, (デ), 左打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
須田　幸太, (デ), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三嶋　一輝, (デ), 両打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
金田　和之, (神), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
榎田　大樹, (神), 左打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
植田　海, (神), 両打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
歳内　宏明, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サターホワイト, (神), 右打ち, 20試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小宮山　慎二, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石崎　剛, (神), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
安藤　優也, (神), 右打ち, 50試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
山_　康晃, (デ), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩田　稔, (神), 左打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
岩崎　優, (神), 左打ち, 16試合, 打率0.000, 25打席, 0安打, 0本塁打, 1打点, 9三振, 長打率0.000
伊藤　和雄, (神), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
