筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
新垣　勇人, (日), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田中　健二朗, (デ), 左打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金平　将至, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福　敬登, (中), 左打ち, 27試合, 打率0.250, 4打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
松本　啓二朗, (デ), 左打ち, 11試合, 打率0.154, 14打席, 2安打, 0本塁打, 0打点, 0三振, 長打率0.154
三浦　大輔, (デ), 右打ち, 3試合, 打率0.333, 6打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.333
三上　朋也, (デ), 右打ち, 59試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ペトリック, (デ), 右打ち, 15試合, 打率0.154, 15打席, 2安打, 0本塁打, 2打点, 7三振, 長打率0.154
ブロードウェイ, (デ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福地　元春, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤岡　好明, (デ), 左打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小杉　陽太, (デ), 右打ち, 20試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
杉谷　拳士, (日), 両打ち, 62試合, 打率0.240, 138打席, 25安打, 0本塁打, 9打点, 23三振, 長打率0.308
辻　東倫, (巨), 左打ち, 15試合, 打率0.176, 40打席, 6安打, 0本塁打, 0打点, 12三振, 長打率0.235
土田　瑞起, (巨), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田原　誠次, (巨), 左打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
平良　拳太郎, (巨), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
高木　勇人, (巨), 右打ち, 25試合, 打率0.034, 36打席, 1安打, 0本塁打, 0打点, 16三振, 長打率0.069
田口　麗斗, (巨), 左打ち, 26試合, 打率0.104, 56打席, 5安打, 0本塁打, 1打点, 16三振, 長打率0.104
中川　皓太, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西村　健太朗, (巨), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三ツ俣　大樹, (中), 右打ち, 15試合, 打率0.125, 19打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.125
中井　大介, (巨), 右打ち, 43試合, 打率0.196, 61打席, 10安打, 0本塁打, 4打点, 13三振, 長打率0.275
寺内　崇幸, (巨), 右打ち, 55試合, 打率0.129, 33打席, 4安打, 0本塁打, 1打点, 11三振, 長打率0.161
戸根　千明, (巨), 左打ち, 42試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武藤　祐太, (中), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
八木　智哉, (中), 左打ち, 1試合, 打率0.500, 2打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.500
公文　克彦, (巨), 左打ち, 12試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
雄太, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小山　雄輝, (巨), 右打ち, 9試合, 打率0.500, 2打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.500
吉見　一起, (中), 右打ち, 21試合, 打率0.118, 41打席, 4安打, 0本塁打, 1打点, 18三振, 長打率0.147
北　篤, (巨), 左打ち, 3試合, 打率0.200, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.200
若松　駿太, (中), 右打ち, 19試合, 打率0.074, 35打席, 2安打, 0本塁打, 1打点, 12三振, 長打率0.074
高梨　裕稔, (日), 右打ち, 37試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
重信　慎之介, (巨), 左打ち, 25試合, 打率0.190, 87打席, 15安打, 0本塁打, 2打点, 20三振, 長打率0.278
菅野　智之, (巨), 右打ち, 26試合, 打率0.222, 61打席, 12安打, 0本塁打, 3打点, 18三振, 長打率0.241
鈴木　尚広, (巨), 両打ち, 44試合, 打率0.300, 10打席, 3安打, 0本塁打, 1打点, 3三振, 長打率0.300
澤村　拓一, (巨), 右打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山井　大介, (中), 右打ち, 33試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 7三振, 長打率0.000
瀬川　隼郎, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
桜井　俊貴, (巨), 右打ち, 1試合, 打率0.000, 2打席, 0安打, 0本塁打, 1打点, 1三振, 長打率0.000
又吉　克樹, (中), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大原　慎司, (デ), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長田　秀一郎, (デ), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
今永　昇太, (デ), 左打ち, 22試合, 打率0.139, 43打席, 5安打, 0本塁打, 1打点, 13三振, 長打率0.139
松井　雅人, (中), 左打ち, 4試合, 打率0.143, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.143
石田　健大, (デ), 左打ち, 25試合, 打率0.182, 50打席, 8安打, 0本塁打, 3打点, 24三振, 長打率0.182
井納　翔一, (デ), 右打ち, 23試合, 打率0.150, 48打席, 6安打, 0本塁打, 0打点, 14三振, 長打率0.175
福谷　浩司, (中), 右打ち, 41試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
久保　裕也, (デ), 右打ち, 9試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
熊原　健人, (デ), 左打ち, 18試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
久保　康友, (デ), 右打ち, 15試合, 打率0.074, 30打席, 2安打, 0本塁打, 1打点, 16三振, 長打率0.074
加賀　繁, (デ), 右打ち, 26試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
斎藤　佑樹, (日), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
国吉　佑樹, (デ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
荒波　翔, (デ), 左打ち, 36試合, 打率0.195, 96打席, 17安打, 0本塁打, 7打点, 17三振, 長打率0.241
松本　哲也, (巨), 左打ち, 52試合, 打率0.174, 77打席, 12安打, 0本塁打, 1打点, 22三振, 長打率0.217
宮國　椋丞, (巨), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
清水　優心, (日), 右打ち, 5試合, 打率0.250, 8打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.250
マシソン, (巨), 右打ち, 70試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
長谷川　潤, (巨), 右打ち, 3試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤村　大介, (巨), 左打ち, 5試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ポレダ, (巨), 左打ち, 5試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 8三振, 長打率0.000
山本　泰寛, (巨), 右打ち, 27試合, 打率0.256, 86打席, 20安打, 0本塁打, 2打点, 20三振, 長打率0.346
松井　佑介, (中), 右打ち, 14試合, 打率0.190, 21打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.286
吉川　大幾, (巨), 両打ち, 50試合, 打率0.176, 56打席, 9安打, 0本塁打, 1打点, 14三振, 長打率0.176
山口　鉄也, (巨), 左打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
メンドーサ, (巨), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
溝脇　隼人, (中), 左打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
矢貫　俊之, (巨), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石崎　剛, (神), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
杉浦　稔大, (ヤ), 右打ち, 17試合, 打率0.091, 16打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.091
武内　晋一, (ヤ), 左打ち, 25試合, 打率0.250, 24打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.250
竹下　真吾, (ヤ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ジェフン, (ヤ), 右打ち, 17試合, 打率0.225, 42打席, 9安打, 0本塁打, 2打点, 12三振, 長打率0.275
近藤　一樹, (ヤ), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
坂口　智隆, (ヤ), 左打ち, 141試合, 打率0.295, 607打席, 155安打, 0本塁打, 39打点, 66三振, 長打率0.340
大野　雄大, (中), 左打ち, 19試合, 打率0.091, 39打席, 3安打, 0本塁打, 1打点, 21三振, 長打率0.091
徳山　武陽, (ヤ), 両打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
遠藤　一星, (中), 左打ち, 27試合, 打率0.180, 71打席, 11安打, 0本塁打, 3打点, 11三振, 長打率0.230
土肥　寛昌, (ヤ), 両打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
寺田　哲也, (ヤ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
館山　昌平, (ヤ), 右打ち, 10試合, 打率0.000, 14打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
田中　浩康, (ヤ), 右打ち, 31試合, 打率0.188, 37打席, 6安打, 0本塁打, 1打点, 3三振, 長打率0.250
デイビーズ, (ヤ), 右打ち, 15試合, 打率0.100, 24打席, 2安打, 0本塁打, 0打点, 12三振, 長打率0.100
久古　健太郎, (ヤ), 左打ち, 39試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　雅規, (ヤ), 左打ち, 20試合, 打率0.029, 39打席, 1安打, 0本塁打, 0打点, 12三振, 長打率0.029
石山　泰稚, (ヤ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
井野　卓, (ヤ), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小川　龍也, (中), 左打ち, 44試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
横山　雄哉, (神), 左打ち, 3試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.333
秋吉　亮, (ヤ), 右打ち, 70試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
新垣　渚, (ヤ), 右打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
奥村　展征, (ヤ), 左打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
風張　蓮, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
木谷　良平, (ヤ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小笠原　慎之介, (中), 左打ち, 15試合, 打率0.176, 17打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.176
岩橋　慶侍, (ヤ), 左打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡田　俊哉, (中), 左打ち, 57試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
オンドルセク, (ヤ), 右打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中澤　雅人, (ヤ), 左打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　慎吾, (日), 右打ち, 12試合, 打率0.074, 28打席, 2安打, 0本塁打, 1打点, 5三振, 長打率0.074
山中　浩史, (ヤ), 右打ち, 22試合, 打率0.073, 46打席, 3安打, 0本塁打, 1打点, 16三振, 長打率0.073
石井　裕也, (日), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山崎　晃大朗, (ヤ), 左打ち, 7試合, 打率0.167, 19打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.167
村中　恭兵, (ヤ), 左打ち, 52試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
森岡　良介, (ヤ), 左打ち, 26試合, 打率0.065, 33打席, 2安打, 0本塁打, 3打点, 8三振, 長打率0.097
八木　亮祐, (ヤ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
阿知羅　拓馬, (中), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
伊藤　準規, (中), 左打ち, 6試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
石川　駿, (中), 右打ち, 2試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
赤田　龍一郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
由規, (ヤ), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.125
ルーキ, (ヤ), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
赤坂　和幸, (中), 右打ち, 7試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
三輪　正義, (ヤ), 左打ち, 51試合, 打率0.242, 41打席, 8安打, 0本塁打, 2打点, 10三振, 長打率0.303
石川　亮, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　直也, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
原　樹理, (ヤ), 右打ち, 13試合, 打率0.105, 20打席, 2安打, 0本塁打, 2打点, 4三振, 長打率0.158
成瀬　善久, (ヤ), 左打ち, 22試合, 打率0.059, 18打席, 1安打, 0本塁打, 1打点, 12三振, 長打率0.059
中島　彰吾, (ヤ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩田　慎司, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩瀬　仁紀, (中), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ペレス, (ヤ), 左打ち, 19試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
松井　淳, (ヤ), 左打ち, 2試合, 打率0.333, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.333
松岡　健一, (ヤ), 右打ち, 53試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
古野　正人, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
比屋根　渉, (ヤ), 右打ち, 76試合, 打率0.230, 142打席, 29安打, 0本塁打, 5打点, 15三振, 長打率0.294
平井　諒, (ヤ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤井　亮太, (ヤ), 左打ち, 12試合, 打率0.200, 20打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.250
横田　慎太郎, (神), 左打ち, 38試合, 打率0.190, 109打席, 20安打, 0本塁打, 4打点, 13三振, 長打率0.210
サターホワイト, (神), 右打ち, 20試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
歳内　宏明, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
柴田　講平, (神), 左打ち, 10試合, 打率0.214, 17打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.286
井口　和朋, (日), 右打ち, 37試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
友永　翔太, (中), 左打ち, 12試合, 打率0.222, 10打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.222
大累　進, (日), 右打ち, 14試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
小宮山　慎二, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
俊介, (神), 右打ち, 41試合, 打率0.186, 56打席, 8安打, 0本塁打, 2打点, 12三振, 長打率0.233
_橋　聡文, (神), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武山　真吾, (中), 右打ち, 15試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
清水　誉, (神), 右打ち, 2試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
谷　哲也, (中), 右打ち, 52試合, 打率0.207, 91打席, 17安打, 0本塁打, 6打点, 16三振, 長打率0.232
島本　浩也, (神), 左打ち, 23試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田島　慎二, (中), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金田　和之, (神), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩貞　祐太, (神), 左打ち, 25試合, 打率0.071, 50打席, 3安打, 0本塁打, 1打点, 26三振, 長打率0.071
岩田　稔, (神), 左打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
植田　海, (神), 両打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩崎　優, (神), 左打ち, 16試合, 打率0.000, 25打席, 0安打, 0本塁打, 1打点, 9三振, 長打率0.000
板山　祐太郎, (神), 左打ち, 40試合, 打率0.236, 115打席, 25安打, 0本塁打, 5打点, 31三振, 長打率0.302
伊藤　和雄, (神), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
今成　亮太, (神), 左打ち, 82試合, 打率0.227, 132打席, 27安打, 0本塁打, 5打点, 27三振, 長打率0.252
榎田　大樹, (神), 左打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡_　太一, (神), 右打ち, 38試合, 打率0.200, 76打席, 13安打, 0本塁打, 5打点, 16三振, 長打率0.246
緒方　凌介, (神), 左打ち, 21試合, 打率0.167, 25打席, 4安打, 0本塁打, 0打点, 6三振, 長打率0.208
飯山　裕志, (日), 右打ち, 36試合, 打率0.333, 3打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.667
野本　圭, (中), 左打ち, 48試合, 打率0.163, 55打席, 8安打, 0本塁打, 7打点, 13三振, 長打率0.204
ネイラー, (中), 右打ち, 7試合, 打率0.250, 15打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.417
梅野　隆太郎, (神), 右打ち, 37試合, 打率0.135, 98打席, 12安打, 0本塁打, 4打点, 22三振, 長打率0.135
高宮　和也, (神), 左打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
マテオ, (神), 右打ち, 52試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松田　遼馬, (神), 右打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
メッセンジャー, (神), 右打ち, 28試合, 打率0.138, 67打席, 9安打, 0本塁打, 3打点, 28三振, 長打率0.154
亀澤　恭平, (中), 左打ち, 59試合, 打率0.226, 137打席, 28安打, 0本塁打, 5打点, 20三振, 長打率0.258
福原　忍, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤川　球児, (神), 左打ち, 43試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
藤浪　晋太郎, (神), 右打ち, 26試合, 打率0.167, 57打席, 8安打, 0本塁打, 1打点, 30三振, 長打率0.250
守屋　功輝, (神), 右打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
山本　翔也, (神), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小熊　凌祐, (中), 右打ち, 14試合, 打率0.188, 19打席, 3安打, 0本塁打, 2打点, 9三振, 長打率0.250
加藤　匠馬, (中), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金子　丈, (中), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
望月　惇志, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森越　祐人, (神), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
上原　健太, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
鶴岡　一成, (神), 右打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
セプティモ, (中), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ドリス, (神), 右打ち, 34試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
鶴　直人, (神), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
祖父江　大輔, (中), 左打ち, 46試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
田面　巧二郎, (神), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
筒井　和也, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
工藤　隆人, (中), 左打ち, 74試合, 打率0.302, 72打席, 19安打, 0本塁打, 3打点, 14三振, 長打率0.365
能見　篤史, (神), 左打ち, 26試合, 打率0.083, 49打席, 3安打, 0本塁打, 1打点, 20三振, 長打率0.083
榎下　陽大, (日), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西岡　剛, (神), 両打ち, 55試合, 打率0.295, 205打席, 56安打, 0本塁打, 15打点, 25三振, 長打率0.342
大嶋　匠, (日), 左打ち, 12試合, 打率0.200, 17打席, 3安打, 0本塁打, 1打点, 2三振, 長打率0.267
ジョーダン, (中), 左打ち, 22試合, 打率0.051, 41打席, 2安打, 0本塁打, 0打点, 20三振, 長打率0.051
佐藤　優, (中), 左打ち, 14試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
_橋　光成, (西), 右打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
Ｃ．Ｃ．リー, (西), 右打ち, 18試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武隈　祥太, (西), 左打ち, 64試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_橋　朋己, (西), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
斉藤　彰吾, (西), 左打ち, 45試合, 打率0.000, 13打席, 0安打, 0本塁打, 0打点, 7三振, 長打率0.000
國場　翼, (西), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐野　泰雄, (西), 左打ち, 15試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　勇, (西), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田代　将太郎, (西), 左打ち, 13試合, 打率0.250, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.250
五十嵐　亮太, (ソ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中_　雄太, (西), 左打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
野田　昇吾, (西), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
野上　亮磨, (西), 右打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
十亀　剣, (西), 右打ち, 21試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
多和田　真三郎, (西), 右打ち, 18試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
永江　恭平, (西), 左打ち, 74試合, 打率0.162, 84打席, 12安打, 0本塁打, 3打点, 24三振, 長打率0.176
豊田　拓矢, (西), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大石　達也, (西), 左打ち, 36試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
呉　念庭, (西), 左打ち, 43試合, 打率0.194, 142打席, 24安打, 0本塁打, 11打点, 25三振, 長打率0.234
岡田　雅利, (西), 右打ち, 47試合, 打率0.227, 79打席, 15安打, 0本塁打, 5打点, 18三振, 長打率0.227
大_　雄太朗, (西), 左打ち, 4試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
猪本　健太郎, (ソ), 右打ち, 5試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
岩嵜　翔, (ソ), 右打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ウルフ, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩尾　利弘, (西), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　篤志, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
