竹下　真吾, (ヤ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
メンドーサ, (日), 右投げ, 23試合, 7勝, 8敗, 0セーブ, 1HP, 防御率3.88, 勝率0.467
東浜　巨, (ソ), 右投げ, 23試合, 9勝, 6敗, 0セーブ, 0HP, 防御率3.00, 勝率0.600
井納　翔一, (デ), 右投げ, 23試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.50, 勝率0.389
オスカル, (広), 左投げ, 23試合, 2勝, 0敗, 0セーブ, 3HP, 防御率6.35, 勝率1.000
黒田　博樹, (広), 右投げ, 24試合, 10勝, 8敗, 0セーブ, 0HP, 防御率3.09, 勝率0.556
和田　毅, (ソ), 左投げ, 24試合, 15勝, 5敗, 0セーブ, 0HP, 防御率3.04, 勝率0.750
東明　大貴, (オ), 右投げ, 24試合, 1勝, 10敗, 0セーブ, 1HP, 防御率4.94, 勝率0.091
赤間　謙, (オ), 右投げ, 24試合, 0勝, 1敗, 0セーブ, 1HP, 防御率3.09, 勝率0.000
金子　千尋, (オ), 右投げ, 24試合, 7勝, 9敗, 0セーブ, 0HP, 防御率3.83, 勝率0.438
塩見　貴洋, (楽), 左投げ, 24試合, 8勝, 10敗, 0セーブ, 0HP, 防御率3.89, 勝率0.444
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
高木　勇人, (巨), 右投げ, 25試合, 5勝, 9敗, 0セーブ, 0HP, 防御率4.31, 勝率0.357
野村　祐輔, (広), 右投げ, 25試合, 16勝, 3敗, 0セーブ, 0HP, 防御率2.71, 勝率0.842
千賀　滉大, (ソ), 右投げ, 25試合, 12勝, 3敗, 0セーブ, 0HP, 防御率2.61, 勝率0.800
能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
西　勇輝, (オ), 右投げ, 26試合, 10勝, 12敗, 0セーブ, 0HP, 防御率4.14, 勝率0.455
涌井　秀章, (ロ), 右投げ, 26試合, 10勝, 7敗, 0セーブ, 0HP, 防御率3.01, 勝率0.588
菅野　智之, (巨), 右投げ, 26試合, 9勝, 6敗, 0セーブ, 0HP, 防御率2.01, 勝率0.600
田口　麗斗, (巨), 左投げ, 26試合, 10勝, 10敗, 0セーブ, 0HP, 防御率2.72, 勝率0.000
美馬　学, (楽), 右投げ, 26試合, 9勝, 9敗, 0セーブ, 0HP, 防御率4.30, 勝率0.000
加賀　繁, (デ), 右投げ, 26試合, 0勝, 0敗, 0セーブ, 6HP, 防御率5.40, 勝率0.000
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
ジョンソン, (広), 左投げ, 26試合, 15勝, 7敗, 0セーブ, 0HP, 防御率2.15, 勝率0.682
武田　翔太, (ソ), 右投げ, 27試合, 14勝, 8敗, 0セーブ, 0HP, 防御率2.95, 勝率0.636
スタンリッジ, (ロ), 右投げ, 27試合, 8勝, 8敗, 0セーブ, 0HP, 防御率3.56, 勝率0.000
九里　亜蓮, (広), 右投げ, 27試合, 2勝, 2敗, 0セーブ, 1HP, 防御率4.50, 勝率0.000
西村　健太朗, (巨), 右投げ, 27試合, 0勝, 0敗, 0セーブ, 2HP, 防御率3.21, 勝率0.000
一岡　竜司, (広), 右投げ, 27試合, 1勝, 1敗, 0セーブ, 6HP, 防御率1.82, 勝率0.000
福　敬登, (中), 左投げ, 27試合, 1勝, 2敗, 0セーブ, 5HP, 防御率4.78, 勝率0.333
ディクソン, (オ), 右投げ, 27試合, 9勝, 11敗, 0セーブ, 0HP, 防御率4.36, 勝率0.450
吉川　光夫, (日), 左投げ, 27試合, 7勝, 6敗, 3セーブ, 0HP, 防御率4.19, 勝率0.538
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
松葉　貴大, (オ), 左投げ, 28試合, 7勝, 9敗, 0セーブ, 1HP, 防御率3.26, 勝率0.438
則本　昂大, (楽), 右投げ, 28試合, 11勝, 11敗, 0セーブ, 0HP, 防御率2.91, 勝率0.000
西宮　悠介, (楽), 左投げ, 29試合, 3勝, 0敗, 0セーブ, 3HP, 防御率4.44, 勝率1.000
増井　浩俊, (日), 右投げ, 30試合, 10勝, 3敗, 10セーブ, 5HP, 防御率2.44, 勝率0.769
オンドルセク, (ヤ), 右投げ, 30試合, 3勝, 1敗, 11セーブ, 5HP, 防御率2.45, 勝率0.750
飯田　優也, (ソ), 左投げ, 30試合, 1勝, 0敗, 0セーブ, 5HP, 防御率3.29, 勝率1.000
加藤　貴之, (日), 左投げ, 30試合, 7勝, 3敗, 0セーブ, 2HP, 防御率3.45, 勝率0.700
藤岡　貴裕, (ロ), 左投げ, 32試合, 1勝, 1敗, 0セーブ, 7HP, 防御率2.55, 勝率0.000
ザガースキー, (デ), 左投げ, 32試合, 3勝, 1敗, 0セーブ, 6HP, 防御率4.96, 勝率0.750
大谷　智久, (ロ), 右投げ, 32試合, 1勝, 3敗, 0セーブ, 14HP, 防御率3.45, 勝率0.250
平井　諒, (ヤ), 右投げ, 33試合, 1勝, 1敗, 0セーブ, 8HP, 防御率2.81, 勝率0.000
五十嵐　亮太, (ソ), 右投げ, 33試合, 0勝, 1敗, 0セーブ, 7HP, 防御率3.62, 勝率0.000
山井　大介, (中), 右投げ, 33試合, 1勝, 8敗, 0セーブ, 8HP, 防御率4.52, 勝率0.111
宮國　椋丞, (巨), 右投げ, 34試合, 4勝, 1敗, 0セーブ, 10HP, 防御率2.95, 勝率0.800
ドリス, (神), 右投げ, 34試合, 3勝, 3敗, 8セーブ, 12HP, 防御率2.12, 勝率0.000
内　竜也, (ロ), 右投げ, 34試合, 3勝, 1敗, 1セーブ, 22HP, 防御率1.39, 勝率0.750
岩嵜　翔, (ソ), 右投げ, 35試合, 4勝, 2敗, 1セーブ, 10HP, 防御率1.95, 勝率0.667
榎田　大樹, (神), 左投げ, 35試合, 1勝, 1敗, 0セーブ, 4HP, 防御率4.31, 勝率0.000
大石　達也, (西), 右投げ, 36試合, 1勝, 0敗, 0セーブ, 4HP, 防御率1.71, 勝率1.000
井口　和朋, (日), 右投げ, 37試合, 0勝, 1敗, 0セーブ, 4HP, 防御率3.86, 勝率0.000
高梨　裕稔, (日), 右投げ, 37試合, 10勝, 2敗, 0セーブ, 3HP, 防御率2.38, 勝率0.833
バース, (日), 右投げ, 37試合, 8勝, 8敗, 0セーブ, 8HP, 防御率3.65, 勝率0.000
久古　健太郎, (ヤ), 左投げ, 39試合, 0勝, 0敗, 1セーブ, 3HP, 防御率4.44, 勝率0.000
福谷　浩司, (中), 右投げ, 41試合, 1勝, 2敗, 8セーブ, 9HP, 防御率4.05, 勝率0.333
西野　勇士, (ロ), 右投げ, 42試合, 3勝, 6敗, 21セーブ, 8HP, 防御率3.35, 勝率0.333
戸根　千明, (巨), 左投げ, 42試合, 1勝, 0敗, 1セーブ, 6HP, 防御率4.50, 勝率1.000
藤川　球児, (神), 右投げ, 43試合, 5勝, 6敗, 3セーブ, 14HP, 防御率4.60, 勝率0.455
佐藤　達也, (オ), 右投げ, 43試合, 1勝, 4敗, 0セーブ, 13HP, 防御率5.01, 勝率0.200
小川　龍也, (中), 左投げ, 44試合, 1勝, 1敗, 0セーブ, 10HP, 防御率2.27, 勝率0.000
ミコライオ, (楽), 右投げ, 45試合, 5勝, 1敗, 0セーブ, 28HP, 防御率2.38, 勝率0.833
祖父江　大輔, (中), 右投げ, 46試合, 0勝, 4敗, 0セーブ, 12HP, 防御率3.14, 勝率0.000
鍵谷　陽平, (日), 右投げ, 48試合, 5勝, 3敗, 3セーブ, 8HP, 防御率4.23, 勝率0.625
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
ヘーゲンズ, (広), 右投げ, 50試合, 7勝, 5敗, 0セーブ, 24HP, 防御率2.92, 勝率0.583
安藤　優也, (神), 右投げ, 50試合, 0勝, 1敗, 0セーブ, 11HP, 防御率2.53, 勝率0.000
牧田　和久, (西), 右投げ, 50試合, 7勝, 1敗, 0セーブ, 32HP, 防御率1.60, 勝率0.875
青山　浩二, (楽), 右投げ, 50試合, 1勝, 5敗, 0セーブ, 15HP, 防御率4.83, 勝率0.167
森福　允彦, (ソ), 左投げ, 50試合, 2勝, 1敗, 0セーブ, 18HP, 防御率2.00, 勝率0.667
海田　智行, (オ), 左投げ, 50試合, 1勝, 3敗, 0セーブ, 16HP, 防御率2.78, 勝率0.250
マーティン, (日), 右投げ, 52試合, 2勝, 0敗, 21セーブ, 21HP, 防御率1.07, 勝率1.000
村中　恭兵, (ヤ), 左投げ, 52試合, 7勝, 3敗, 0セーブ, 12HP, 防御率3.90, 勝率0.700
マテオ, (神), 右投げ, 52試合, 1勝, 3敗, 20セーブ, 8HP, 防御率1.80, 勝率0.250
増田　達至, (西), 右投げ, 53試合, 3勝, 5敗, 28セーブ, 8HP, 防御率1.66, 勝率0.375
松永　昂大, (ロ), 左投げ, 53試合, 3勝, 0敗, 0セーブ, 13HP, 防御率3.46, 勝率1.000
松岡　健一, (ヤ), 右投げ, 53試合, 2勝, 1敗, 0セーブ, 6HP, 防御率3.74, 勝率0.667
_橋　聡文, (神), 左投げ, 54試合, 3勝, 1敗, 0セーブ, 23HP, 防御率3.76, 勝率0.750
塚原　頌平, (オ), 右投げ, 54試合, 4勝, 1敗, 0セーブ, 17HP, 防御率2.67, 勝率0.800
金刃　憲人, (楽), 左投げ, 54試合, 3勝, 1敗, 0セーブ, 17HP, 防御率2.38, 勝率0.750
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
森　唯斗, (ソ), 右投げ, 56試合, 4勝, 3敗, 1セーブ, 18HP, 防御率2.98, 勝率0.571
南　昌輝, (ロ), 右投げ, 57試合, 5勝, 4敗, 0セーブ, 21HP, 防御率2.74, 勝率0.556
岡田　俊哉, (中), 左投げ, 57試合, 3勝, 1敗, 0セーブ, 16HP, 防御率3.20, 勝率0.750
松井　裕樹, (楽), 左投げ, 58試合, 1勝, 4敗, 30セーブ, 11HP, 防御率3.32, 勝率0.200
スアレス, (ソ), 右投げ, 58試合, 2勝, 6敗, 1セーブ, 28HP, 防御率3.19, 勝率0.250
平野　佳寿, (オ), 右投げ, 58試合, 4勝, 4敗, 31セーブ, 12HP, 防御率1.92, 勝率0.000
谷元　圭介, (日), 右投げ, 58試合, 3勝, 2敗, 3セーブ, 31HP, 防御率2.32, 勝率0.600
宮西　尚生, (日), 左投げ, 58試合, 3勝, 1敗, 2セーブ, 42HP, 防御率1.52, 勝率0.750
山_　康晃, (デ), 右投げ, 59試合, 2勝, 5敗, 33セーブ, 9HP, 防御率3.59, 勝率0.286
三上　朋也, (デ), 右投げ, 59試合, 2勝, 4敗, 2セーブ, 34HP, 防御率2.61, 勝率0.333
田島　慎二, (中), 右投げ, 59試合, 3勝, 4敗, 17セーブ, 21HP, 防御率2.44, 勝率0.429
田中　健二朗, (デ), 左投げ, 61試合, 5勝, 3敗, 0セーブ, 28HP, 防御率2.45, 勝率0.625
益田　直也, (ロ), 右投げ, 61試合, 3勝, 2敗, 14セーブ, 24HP, 防御率1.83, 勝率0.600
中_　翔太, (広), 右投げ, 61試合, 3勝, 4敗, 34セーブ, 10HP, 防御率1.32, 勝率0.429
須田　幸太, (デ), 右投げ, 62試合, 5勝, 3敗, 0セーブ, 28HP, 防御率2.68, 勝率0.625
又吉　克樹, (中), 右投げ, 62試合, 6勝, 6敗, 0セーブ, 22HP, 防御率2.80, 勝率0.000
山口　鉄也, (巨), 左投げ, 63試合, 1勝, 6敗, 1セーブ, 20HP, 防御率4.88, 勝率0.143
澤村　拓一, (巨), 右投げ, 63試合, 6勝, 4敗, 37セーブ, 10HP, 防御率2.66, 勝率0.600
サファテ, (ソ), 右投げ, 64試合, 0勝, 7敗, 43セーブ, 8HP, 防御率1.88, 勝率0.000
田原　誠次, (巨), 右投げ, 64試合, 4勝, 3敗, 0セーブ, 18HP, 防御率3.46, 勝率0.571
武隈　祥太, (西), 左投げ, 64試合, 5勝, 3敗, 0セーブ, 19HP, 防御率3.54, 勝率0.625
ジャクソン, (広), 右投げ, 67試合, 5勝, 4敗, 0セーブ, 42HP, 防御率1.71, 勝率0.556
今村　猛, (広), 右投げ, 67試合, 3勝, 4敗, 2セーブ, 25HP, 防御率2.44, 勝率0.429
福山　博之, (楽), 右投げ, 69試合, 4勝, 5敗, 0セーブ, 23HP, 防御率2.71, 勝率0.444
ルーキ, (ヤ), 右投げ, 69試合, 6勝, 6敗, 0セーブ, 39HP, 防御率3.06, 勝率0.000
秋吉　亮, (ヤ), 右投げ, 70試合, 3勝, 4敗, 19セーブ, 13HP, 防御率2.19, 勝率0.429
マシソン, (巨), 右投げ, 70試合, 8勝, 4敗, 1セーブ, 49HP, 防御率2.36, 勝率0.667
